C.D.S.  -  SIMBAD4 rel 1.8  -  2024.10.10CEST17:08:04

m13
---

Number of objects : 1909

 #  ;dist(asec);typed ident;            identifier             ;typ;       coord1 (ICRS,J2000/2000)        ;  Mag U  ;  Mag B  ;  Mag V  ;  Mag R  ;  Mag I  ;  spec. type   ;#bib;#not
----;----------;-----------;-----------------------------------;---;---------------------------------------;---------;---------;---------;---------;---------;---------------;----;----
1   ;      0.00;m13        ;M 13                               ;GlC;16 41 41.634 +36 27 40.75              ;     ~   ;     ~   ;5.8      ;     ~   ;     ~   ;~              ;2222;   0
2   ;      0.96;m13        ;NGC 6205 576                       ;*  ;16 41 41.6158 +36 27 41.682            ;     ~   ;     ~   ;13.01    ;     ~   ;     ~   ;~              ;   6;   0
3   ;      1.39;m13        ;Cl* NGC 6205 CGY 5561              ;*  ;16 41 41.6307 +36 27 39.360            ;     ~   ;     ~   ;14.55    ;     ~   ;     ~   ;~              ;   2;   0
4   ;      1.80;m13        ;[KWR2014] M13 96034                ;*  ;16 41 41.5360 +36 27 39.392            ;     ~   ;     ~   ;     ~   ;     ~   ;     ~   ;~              ;   1;   0
5   ;      1.85;m13        ;[KWR2014] M13 95745                ;*  ;16 41 41.6408 +36 27 38.906            ;     ~   ;     ~   ;     ~   ;     ~   ;     ~   ;~              ;   1;   0
6   ;      2.38;m13        ;NGC 6205 575                       ;*  ;16 41 41.6133 +36 27 38.380            ;     ~   ;     ~   ;17.84    ;     ~   ;     ~   ;~              ;   5;   0
7   ;      2.42;m13        ;[KWR2014] M13 95130                ;*  ;16 41 41.7816 +36 27 42.384            ;     ~   ;     ~   ;     ~   ;     ~   ;     ~   ;~              ;   1;   0
8   ;      3.13;m13        ;[KWR2014] M13 96066                ;*  ;16 41 41.5583 +36 27 43.741            ;     ~   ;     ~   ;     ~   ;     ~   ;     ~   ;~              ;   1;   0
9   ;      3.27;m13        ;[KWR2014] M13 95738                ;*  ;16 41 41.5770 +36 27 37.553            ;     ~   ;     ~   ;     ~   ;     ~   ;     ~   ;~              ;   1;   0
10  ;      3.28;m13        ;[KWR2014] M13 96062                ;*  ;16 41 41.4761 +36 27 43.422            ;     ~   ;     ~   ;     ~   ;     ~   ;     ~   ;~              ;   1;   0
11  ;      3.76;m13        ;[KWR2014] M13 94808                ;*  ;16 41 41.9452 +36 27 40.978            ;     ~   ;     ~   ;     ~   ;     ~   ;     ~   ;~              ;   1;   0
12  ;      3.79;m13        ;[KWR2014] M13 94799                ;*  ;16 41 41.9113 +36 27 38.969            ;     ~   ;     ~   ;     ~   ;     ~   ;     ~   ;~              ;   1;   0
13  ;      3.90;m13        ;[WOR95] M13 32                     ;UV ;16 41 41.836 +36 27 43.79              ;     ~   ;     ~   ;     ~   ;     ~   ;     ~   ;~              ;   1;   0
14  ;      4.58;m13        ;[KWR2014] M13 96013                ;*  ;16 41 41.5635 +36 27 36.246            ;     ~   ;     ~   ;     ~   ;     ~   ;     ~   ;~              ;   1;   0
15  ;      4.64;m13        ;[KWR2014] M13 95080                ;*  ;16 41 41.8277 +36 27 36.741            ;     ~   ;     ~   ;     ~   ;     ~   ;     ~   ;~              ;   1;   0
16  ;      5.24;m13        ;Cl* NGC 6205 CGY 5946              ;*  ;16 41 42.0187 +36 27 43.180            ;     ~   ;     ~   ;13.77    ;     ~   ;     ~   ;~              ;   2;   0
17  ;      5.29;m13        ;[KWR2014] M13 94515                ;*  ;16 41 42.0343 +36 27 42.899            ;     ~   ;     ~   ;     ~   ;     ~   ;     ~   ;~              ;   1;   0
18  ;      5.34;m13        ;[KWR2014] M13 96689                ;*  ;16 41 41.3499 +36 27 36.652            ;     ~   ;     ~   ;     ~   ;     ~   ;     ~   ;~              ;   1;   0
